,Budget_Year-Month,Finance_Minister,Sentance,Polarity,sentiment,Sector,Topic
185,2015-2016 Month-02,Arun Jaitley,these are own scstobc,0.0,Neutral,Others,develop
186,2015-2016 Month-02,Arun Jaitley,these bottom ofthepyramid hardwork entrepreneur find difficult not imposs access formal system credit,0.0258,Neutral,Others,provid
187,2015-2016 Month-02,Arun Jaitley,therefor creat micro unit develop refin agenc mudra bank with corpus 20000 and credit guarant corpus 3000,0.3818,Positive,Others,bank
188,2015-2016 Month-02,Arun Jaitley,mudra bank will refin microfin institut through pradhan mantri mudra yojana,0.0,Neutral,Others,provid
189,2015-2016 Month-02,Arun Jaitley,lend prioriti will given scst enterpri,0.0,Neutral,Others,invest
190,2015-2016 Month-02,Arun Jaitley,these measur will great increa the confid young educ skill worker who would now abl aspir becom first generat entrepreneur exist small busi too will abl expand their activ,0.7506,Positive,Others,provid
191,2015-2016 Month-02,Arun Jaitley,just are bank the unbank are also fund the unfund,0.0,Neutral,Others,increa
193,2015-2016 Month-02,Arun Jaitley,signif part the work capit requir msme ari due long receiv realiz cycl,0.0,Neutral,Others,invest
194,2015-2016 Month-02,Arun Jaitley,are the process establish electron trade receiv discount system tred trade receiv msmes from corpor and other buyer through multipl,0.0,Neutral,Others,invest
195,2015-2016 Month-02,Arun Jaitley,this should improv the liquid the msme signif,0.0,Neutral,Others,invest
197,2015-2016 Month-02,Arun Jaitley,bankruptci law reform that bring about legal certainti and speed has been identifi key prioriti for improv the busi,0.128,Positive,Others,bank
198,2015-2016 Month-02,Arun Jaitley,sica sick industri compani act and bifr bureau for industri and reconstruct have fail achiev these object,-0.7783,Negative,Others,provid
199,2015-2016 Month-02,Arun Jaitley,will bring comprehen bankruptci code 201516 that will meet global standard and provid necessari judici capac,0.0,Neutral,Others,scheme
201,2015-2016 Month-02,Arun Jaitley,the commit increa access the peopl the formal system,0.296,Positive,Others,provid
202,2015-2016 Month-02,Arun Jaitley,this context util the vast postal network with near 154000 point presenc spread across the villag the countri,0.0,Neutral,Others,provid
203,2015-2016 Month-02,Arun Jaitley,hope that the postal depart will make payment bank ventur success that contribut further the pradhan mantri jan dhan yojana,0.765,Positive,Others,growth
205,2015-2016 Month-02,Arun Jaitley,bring pariti regul nonbank compani nbfcs with other institut matter relat recoveri that nbfcs regist with rbi and have asset size 500 and abov will consid for notif institut term the sarfaesi act 2002,0.3818,Positive,Others,provid
206,2015-2016 Month-02,Arun Jaitley,from jan dhan jan suraksha,0.0,Neutral,Others,provid
207,2015-2016 Month-02,Arun Jaitley,larg proport popul without insur ani kind health accid life,-0.4168,Negative,Others,provid
208,2015-2016 Month-02,Arun Jaitley,worri our young popul age also pensionless,0.0,Neutral,Others,increa
209,2015-2016 Month-02,Arun Jaitley,encourag the success the pradhan mantri jan dhan yojana work toward creat univ social secur system for all indian special the poor and the underprivileg,0.5106,Positive,Others,set
211,2015-2016 Month-02,Arun Jaitley,the soontobelaunch pradhan mantri suraksha bima yojna will cover accid death risk for premium just per,-0.7184,Negative,Others,provid
212,2015-2016 Month-02,Arun Jaitley,similar will also launch the atal pension yojana which will provid defin pension depend the contribut and period,0.0,Neutral,Others,set
213,2015-2016 Month-02,Arun Jaitley,encourag peopl join this scheme the will contribut the beneficiari premium limit 1000 each for five the new account open befor 31st decemb 2015,0.296,Positive,Others,increa
215,2015-2016 Month-02,Arun Jaitley,the third social secur scheme that wish announc the pradhan mantri jeevan jyoti bima yojana which cover both natur and accid death risk,-0.5106,Negative,Others,set
216,2015-2016 Month-02,Arun Jaitley,the premium will 330 per less than one rupe per day for the age group 1850,0.0,Neutral,Agriculture,custom
218,2015-2016 Month-02,Arun Jaitley,there are unclaim deposit about 3000 the ppf and approxim 6000 the epf corpus,0.0,Neutral,Others,fund
219,2015-2016 Month-02,Arun Jaitley,have the creation senior citizen welfar fund the bill for appropri these amount corpus which will use subsid the premium vulner group such old age pension bpl cardhold small and margin farmer and other,0.2732,Positive,Agriculture,provid
220,2015-2016 Month-02,Arun Jaitley,detail scheme would issu march,0.0,Neutral,Others,develop
222,2015-2016 Month-02,Arun Jaitley,madam special regard need paid the popul senior citizen the countri which now approxim 105 out which over one are abov the age,0.4019,Positive,Others,fund
223,2015-2016 Month-02,Arun Jaitley,live rural area and larg number are the bpl categori,0.0772,Positive,Others,servic
224,2015-2016 Month-02,Arun Jaitley,sizeabl percentag them also suffer from age relat disabl,-0.5423,Negative,Others,growth
225,2015-2016 Month-02,Arun Jaitley,our societi that vener elder,0.0,Neutral,Others,provid
226,2015-2016 Month-02,Arun Jaitley,therefor that new scheme for provid physic aid and assist live devic for senior citizen live below the poverti line,0.0,Neutral,Others,custom
228,2015-2016 Month-02,Arun Jaitley,these social secur scheme reflect our commit util the jan dhan platform ensur that indian citizen will have worri about ill accid penuri old age,-0.1531,Negative,Others,provid
229,2015-2016 Month-02,Arun Jaitley,sensit the need the poor underprivileg and the disadvantag also remain commit the ongo welfar scheme for the scs sts and women,-0.2263,Negative,Others,provid
230,2015-2016 Month-02,Arun Jaitley,despit serious constraint union alloc made this are follow 30851 19980 women 79258,-0.0772,Negative,Others,provid
231,2015-2016 Month-02,Arun Jaitley,integr educ and livelihood scheme call nai manzil will launch this enabl minor youth who not have formal school leav certif obtain one and find better employ,0.5719,Positive,Others,scheme
232,2015-2016 Month-02,Arun Jaitley,further showca civil and cultur the parsi the will support 201516 exhibit the everlast flame,0.4019,Positive,Others,scheme
233,2015-2016 Month-02,Arun Jaitley,the alloc for the ministri minor affair protect,0.3818,Positive,Others,develop
234,2015-2016 Month-02,Arun Jaitley,the for the 201516 3738,0.0,Neutral,Others,fund
235,2015-2016 Month-02,Arun Jaitley,infrastructur,0.0,Neutral,Others,develop
236,2015-2016 Month-02,Arun Jaitley,madam secret that the major slippag the last decad has been the infrastructur front,0.0,Neutral,Others,develop
237,2015-2016 Month-02,Arun Jaitley,our infrastructur doe not match our growth ambit,-0.2924,Negative,Agriculture,provid
238,2015-2016 Month-02,Arun Jaitley,there press need increa public invest,0.0,Neutral,Others,provid
239,2015-2016 Month-02,Arun Jaitley,have therefor increa outlay both the road and the gross budgetari support the railway 14031 and 10050 respect,0.4019,Positive,Agriculture,bank
240,2015-2016 Month-02,Arun Jaitley,the capex the public unit expect 317889 increa approxim 80844 over 201415,0.0,Neutral,Others,increa
241,2015-2016 Month-02,Arun Jaitley,fact all told invest infrastructur will 70000 the 201516 over the 201415 from the centr fund and resourc cpses,0.0,Neutral,Others,develop
243,2015-2016 Month-02,Arun Jaitley,second intend establish invest and infrastructur fund niif and find moni ensur annual flow 20000,0.0,Neutral,Others,provid
244,2015-2016 Month-02,Arun Jaitley,this will enabl the trust rai debt and turn invest equiti infrastructur compani such the irfc and nhb,0.2023,Positive,Others,provid
245,2015-2016 Month-02,Arun Jaitley,the infrastructur compani can then leverag this extra equiti mani fold,0.0,Neutral,Others,provid
246,2015-2016 Month-02,Arun Jaitley,third also intend permit tax free infrastructur bond for the project the rail road and irrig,0.5106,Positive,Others,provid
247,2015-2016 Month-02,Arun Jaitley,fourth the ppp mode infrastructur develop has revisit and revitali,0.0,Neutral,Others,increa
248,2015-2016 Month-02,Arun Jaitley,the major issu involv rebalanc risk,-0.2732,Negative,Others,provid
249,2015-2016 Month-02,Arun Jaitley,infrastructur project the sovereign will have bear major part the risk without cour absorb entir,-0.2732,Negative,Others,provid
251,2015-2016 Month-02,Arun Jaitley,fifth also intend establish niti the atal innov mission aim,0.0,Neutral,Others,servic
252,2015-2016 Month-02,Arun Jaitley,aim will innov promot platform involv academ entrepreneur and research and draw upon and intern experi foster cultur innov and scientif research,0.0,Neutral,Others,increa
253,2015-2016 Month-02,Arun Jaitley,the platform will also promot network worldclass innov hub and grand challeng for,0.4588,Positive,Others,develop
254,2015-2016 Month-02,Arun Jaitley,initi 150 will earmark for this purpo,0.0,Neutral,Others,bank
256,2015-2016 Month-02,Arun Jaitley,has well regard and worldclass industri with revenu about 150 billion over 100 billion export employ near peopl direct,0.2732,Positive,Others,servic
257,2015-2016 Month-02,Arun Jaitley,are now see grow interest startup,0.4588,Positive,Agriculture,servic
258,2015-2016 Month-02,Arun Jaitley,experi cut edg technolog creat valu out idea and initi and convert them into scalabl enterpri and busi the core our strategi for engag our youth and for inclus and sustain growth the countri,0.128,Positive,Agriculture,provid
259,2015-2016 Month-02,Arun Jaitley,concern such more liber system rai global capit incub facil our centr excel fund for seed capit and growth and busi etc,0.6808,Positive,Agriculture,fund
260,2015-2016 Month-02,Arun Jaitley,need address creat job and hundr billion dollar valu,0.0,Neutral,Others,fund
262,2015-2016 Month-02,Arun Jaitley,with this object establish mechan known setu selfemploy and talent utili,0.4215,Positive,Others,develop
263,2015-2016 Month-02,Arun Jaitley,setu will technofin incub and facilit programm support all aspect startup busi and other selfemploy activ particular technologydriven area,0.4019,Positive,Others,hous
264,2015-2016 Month-02,Arun Jaitley,set asid 1000 initi niti aayog for this purpo,0.0,Neutral,Others,develop
266,2015-2016 Month-02,Arun Jaitley,the success socal minor port has shown port can attract invest possibl for the privat,0.7351,Positive,Others,scheme
267,2015-2016 Month-02,Arun Jaitley,port the public need both attract such invest well leverag the huge land resourc lie unus with them,0.7096,Positive,Others,provid
268,2015-2016 Month-02,Arun Jaitley,enabl port public will encourag corporat and becom compani under the compani act,0.0,Neutral,Others,develop
270,2015-2016 Month-02,Arun Jaitley,madam investor spend larg amount time and resourc get the multipl permiss requir,0.0,Neutral,Others,hous
271,2015-2016 Month-02,Arun Jaitley,aim toward,0.0,Neutral,Others,increa
272,2015-2016 Month-02,Arun Jaitley,have myself launch the ebiz portal which integr regulatori permiss one sourc,0.0,Neutral,Others,increa
273,2015-2016 Month-02,Arun Jaitley,good state are embrac and join this platform,0.6249,Positive,Others,fund
274,2015-2016 Month-02,Arun Jaitley,howev realli want creat job have make invest destin which permit the start busi accord with public state guidelin and criteria,0.0772,Positive,Others,fund
276,2015-2016 Month-02,Arun Jaitley,intend appoint expert committ for this purpo examin the possibl and prepar draft legisl where the need for multipl prior permiss can replac with preexist regulatori mechan,0.0,Neutral,Others,hous
278,2015-2016 Month-02,Arun Jaitley,the also set new ultra mega power project each 4000 mws the plugandplay mode,0.0,Neutral,Others,increa
279,2015-2016 Month-02,Arun Jaitley,all clearanc and linkag will place befor the project award transpar auction system,0.5423,Positive,Others,hous
280,2015-2016 Month-02,Arun Jaitley,this should unlock invest the extent,0.0,Neutral,Others,hous
281,2015-2016 Month-02,Arun Jaitley,the would also consid similar plugandplay project other infrastructur project such road port rail line airport etc,0.0,Neutral,Others,scheme
282,2015-2016 Month-02,Arun Jaitley,happi announc that the second unit kudankulam nuclear power station will commiss 201516,0.0,Neutral,Others,scheme
284,2015-2016 Month-02,Arun Jaitley,madam hope garner some addit resourc dure the from tax buoyanc,0.4404,Positive,Others,scheme
285,2015-2016 Month-02,Arun Jaitley,success then over and abov the budgetari alloc will endeavour enhanc alloc mgnrega 5000 integr child develop scheme icd 1500 integr child protect scheme icp 500 and the prdhan mantri krishi sinchai yojana 3000 and the initi inflow 5000 into the niif,0.743,Positive,Agriculture,provid
286,2015-2016 Month-02,Arun Jaitley,market,0.0,Neutral,Others,increa
287,2015-2016 Month-02,Arun Jaitley,one vital factor promot invest includ the infrastructur the deepen the indian bond market which have bring the same level our world class equiti market,0.296,Positive,Others,provid
288,2015-2016 Month-02,Arun Jaitley,intend begin this process this set public debt manag agenc pdma which will bring both extern borrow and domest debt under one roof,-0.6124,Negative,Others,agricultur
290,2015-2016 Month-02,Arun Jaitley,also merg the forward market commiss with sebi strengthen regul commod forward market and reduc wild specul,0.3182,Positive,Others,provid
291,2015-2016 Month-02,Arun Jaitley,enabl legisl amend the secur act and the rbi act the bill 2015,0.0,Neutral,Others,growth
293,2015-2016 Month-02,Arun Jaitley,capit account control polici rather than regulatori matter,0.0258,Neutral,Others,provid
294,2015-2016 Month-02,Arun Jaitley,therefor amend through the bill section6 fema clear provid that control capit flow equiti will exerci the consult with the rbi,0.3818,Positive,Others,bank
296,2015-2016 Month-02,Arun Jaitley,proper function capit market also requir proper consum protect,0.3818,Positive,Others,agricultur
297,2015-2016 Month-02,Arun Jaitley,therefor also creat task forc establish neutral redress agenc that will address grievanc against all servic provid,0.0,Neutral,Others,bank
298,2015-2016 Month-02,Arun Jaitley,also glad inform the hous that work assign the task forc the data manag centr the appel tribun the resolut corpor and the public debt manag agenc are progress satisfactorili,0.5106,Positive,Others,fund
299,2015-2016 Month-02,Arun Jaitley,have also receiv larg number suggest regard the indian code ifc which are current review the justic srikrishna committ,0.0772,Positive,Others,fund
300,2015-2016 Month-02,Arun Jaitley,hope sooner rather than later introduc the ifc parliament for consid,0.4404,Positive,Others,fund
302,2015-2016 Month-02,Arun Jaitley,madam this just the begin,0.0,Neutral,Others,fund
303,2015-2016 Month-02,Arun Jaitley,have vision put place direct tax regim which intern competit without exempt incentivi save and doe not realiz tax from intermediari,-0.2321,Negative,Others,provid
304,2015-2016 Month-02,Arun Jaitley,such direct tax regim would match the modern indirect tax regim are put place way gst and will bring both greater transpar and greater invest,0.6124,Positive,Others,scheme
306,2015-2016 Month-02,Arun Jaitley,madam the situat with regard the dormant employ provid fund epf account and the claim ratio esi too well known repeat here,0.2732,Positive,Others,scheme
307,2015-2016 Month-02,Arun Jaitley,has been remark that both epf and esi have hostag rather than client,0.0,Neutral,Others,provid
308,2015-2016 Month-02,Arun Jaitley,further the low paid worker suffer deduct greater than the better paid worker percentag term,-0.0516,Negative,Others,scheme
310,2015-2016 Month-02,Arun Jaitley,with respect the employ provid fund epf the employ need provid two option,0.4767,Positive,Others,scheme
311,2015-2016 Month-02,Arun Jaitley,first the employ may opt for epf the new pension scheme nps,0.0,Neutral,Others,fund
312,2015-2016 Month-02,Arun Jaitley,second for employ below certain threshold month incom contribut epf should option without affect reduc the employ contribut,0.2732,Positive,Others,scheme
313,2015-2016 Month-02,Arun Jaitley,with respect esi the employ should have the option choo either esi health insur product recogn the insur regulatori develop author irda,0.4767,Positive,Agriculture,develop
314,2015-2016 Month-02,Arun Jaitley,intend bring amend legisl this regard after stakehold consult,0.0,Neutral,Others,develop
315,2015-2016 Month-02,Arun Jaitley,moneti gold,0.0,Neutral,Others,develop
316,2015-2016 Month-02,Arun Jaitley,one the largest consum gold the world and import much 8001000 tonn gold each,0.0,Neutral,Others,develop
317,2015-2016 Month-02,Arun Jaitley,though stock gold are over 20000 tonn most this gold neither trade nor monet,0.0,Neutral,Others,growth
318,2015-2016 Month-02,Arun Jaitley,introduc gold moneti scheme which will replac both the present gold deposit and gold metal loan scheme,0.0,Neutral,Others,provid
319,2015-2016 Month-02,Arun Jaitley,the new scheme will allow the depositor gold earn interest their metal account and the jewel obtain loan their metal account,0.7506,Positive,Others,develop
320,2015-2016 Month-02,Arun Jaitley,banksoth dealer would also abl monet this gold,0.0,Neutral,Others,provid
321,2015-2016 Month-02,Arun Jaitley,also develop altern asset sovereign gold bond altern purcha metal gold,0.3612,Positive,Others,set
322,2015-2016 Month-02,Arun Jaitley,the bond will carri fix interest and also redeem cash term the face valu the gold the time redempt the holder the bond,0.4588,Positive,Others,provid
323,2015-2016 Month-02,Arun Jaitley,iii commenc work develop indian gold coin which will carri the ashok chakra face,0.0,Neutral,Others,develop
324,2015-2016 Month-02,Arun Jaitley,such indian gold coin would help reduc the demand for coin mint outsid and also help recycl the gold avail the countri,0.5994,Positive,Others,provid
326,2015-2016 Month-02,Arun Jaitley,one way curb the flow black money discourag transact cash,0.0,Neutral,Others,scheme
327,2015-2016 Month-02,Arun Jaitley,now that major indian has can have rupay debit card,0.0,Neutral,Others,provid
328,2015-2016 Month-02,Arun Jaitley,therefor introduc soon sever measur that will incentiv credit debit card transact and disincentivi cash transact,0.3818,Positive,Others,provid
329,2015-2016 Month-02,Arun Jaitley,invest,0.0,Neutral,Others,agricultur
330,2015-2016 Month-02,Arun Jaitley,altern invest fund regul have been notifi sebi,0.0,Neutral,Others,provid
331,2015-2016 Month-02,Arun Jaitley,such altern invest fund provid anoth vehicl for facilit domest invest,0.0,Neutral,Others,provid
332,2015-2016 Month-02,Arun Jaitley,keep view the need increa invest from all sourc also allow foreign invest altern invest fund,0.2263,Positive,Others,increa
334,2015-2016 Month-02,Arun Jaitley,further simplifi the procedur for indian compani attract foreign invest away with the distinct between differ type foreign invest especi between foreign portfolio invest and foreign direct invest and replac them with composit cap the which are alreadi 100 automat rout would not affect,0.3612,Positive,Others,scheme
336,2015-2016 Month-02,Arun Jaitley,the act east polici the endeavour cultiv exten econom and strateg relat southeast asia,0.0,Neutral,Others,set
337,2015-2016 Month-02,Arun Jaitley,order catalyz invest from the indian privat this region project develop compani will through separ special purpo vehicl spvs set manufactur hub cmlv countri name cambodia myanmar lao and vietnam,0.4019,Positive,Others,provid
338,2015-2016 Month-02,Arun Jaitley,safe,0.4404,Positive,Others,increa
339,2015-2016 Month-02,Arun Jaitley,commit safeti and secur women,0.296,Positive,Others,provid
340,2015-2016 Month-02,Arun Jaitley,order support programm for women secur advocaci and awar have decid provid anoth 1000 the nirbhaya fund,0.4019,Positive,Others,bank
341,2015-2016 Month-02,Arun Jaitley,tourism,0.0,Neutral,Others,set
342,2015-2016 Month-02,Arun Jaitley,while has twenti five cultur world heritag site,0.0,Neutral,Others,bank
343,2015-2016 Month-02,Arun Jaitley,these facil are still defici and requir restor includ landscap restor signag and interpret centr park access for the differ abl visitor amen includ secur and toilet illumin and plan for benefit communiti around them,0.4588,Positive,Others,provid
344,2015-2016 Month-02,Arun Jaitley,provid resourc start work along these line for the follow heritag site church convent old goa hampi karnataka iii elephanta cave mumbai kumbalgarh and other hill fort rajasthan rani vav patan gujarat leh palac ladakh vii varanasi templ town viii jalianwala bagh amritsar punjab qutub shahi tomb hyderabad telengana,0.0,Neutral,Others,tax
345,2015-2016 Month-02,Arun Jaitley,after the success visa arriv issu travel countri increa the countri cover 150 stage,0.5719,Positive,Others,growth
346,2015-2016 Month-02,Arun Jaitley,green,0.0,Neutral,Others,increa
347,2015-2016 Month-02,Arun Jaitley,madam environ degrad hurt the poor more than other are commit make our develop process green possibl,-0.6486,Negative,Others,set
348,2015-2016 Month-02,Arun Jaitley,our facto carbon tax most petroleum product compar favour with intern norm,0.4404,Positive,Agriculture,tax
349,2015-2016 Month-02,Arun Jaitley,with regard coal there need find balanc between tax pollut and the price power,0.0,Neutral,Others,tax
350,2015-2016 Month-02,Arun Jaitley,howev begin this intend start that journey too,0.0,Neutral,Others,scheme
351,2015-2016 Month-02,Arun Jaitley,also launch scheme for faster adopt and manufactur electr vehicl fame,0.5574,Positive,Others,servic
352,2015-2016 Month-02,Arun Jaitley,initi outlay for this scheme 201516,0.0,Neutral,Others,provid
353,2015-2016 Month-02,Arun Jaitley,the ministri new renew energi has revi target renew energi capac 175000 till 2022 compri 100000 solar 60000 wind 10000 biomass and 5000 small hydro,0.0,Neutral,Others,set
355,2015-2016 Month-02,Arun Jaitley,madam are put the scam scandal and corrupt raj behind,-0.765,Negative,Others,provid
356,2015-2016 Month-02,Arun Jaitley,malfea public procur can perhap contain have procur law and institut structur consist with the uncitr model,0.0,Neutral,Others,provid
357,2015-2016 Month-02,Arun Jaitley,believ parliament need take view soon whether need procur law and what shape should take,0.0,Neutral,Others,tax
359,2015-2016 Month-02,Arun Jaitley,the other hand disput ari public contract take long resolv and the process veri cost too,0.4939,Positive,Others,set
360,2015-2016 Month-02,Arun Jaitley,introduc public contract resolut disput bill streamlin the institut arrang for resolut such disput,0.0,Neutral,Others,bank
362,2015-2016 Month-02,Arun Jaitley,there also need feel tackl the lack common approach and philosophi the regulatori arrang prevail even within the differ infrastructur,-0.3182,Negative,Others,provid
363,2015-2016 Month-02,Arun Jaitley,our therefor also introduc regulatori reform law that will bring about cogenc approach across various infrastructur,0.0,Neutral,Others,bank
364,2015-2016 Month-02,Arun Jaitley,skill,0.0,Neutral,Others,fund
365,2015-2016 Month-02,Arun Jaitley,one the youngest the world with more than the total popul below age,0.0,Neutral,Others,growth
366,2015-2016 Month-02,Arun Jaitley,our young peopl have both educ and employ for the job the 21st centuri,0.0,Neutral,Others,growth
367,2015-2016 Month-02,Arun Jaitley,the prime minist has explain how skill need close coordin with make,0.0,Neutral,Others,growth
368,2015-2016 Month-02,Arun Jaitley,yet today less than our potenti workforc get formal skill train employ and stay employ,0.0,Neutral,Others,provid
370,2015-2016 Month-02,Arun Jaitley,will soon launch skill mission through the skill develop and entrepreneurship ministri,0.0,Neutral,Others,increa
371,2015-2016 Month-02,Arun Jaitley,the mission will consolid skill initi spread across sever ministri and allow standard procedur and outcom across our skill council,0.2263,Positive,Others,provid
373,2015-2016 Month-02,Arun Jaitley,with rural popul still form close popul enhanc the employ rural youth the key unlock demograph dividend,0.0,Neutral,Others,develop
374,2015-2016 Month-02,Arun Jaitley,with this mind had launch the deen dayal upadhyay gramin kaushal yojana,0.0,Neutral,Others,provid
375,2015-2016 Month-02,Arun Jaitley,1500 has been set apart for this scheme,0.0,Neutral,Others,provid
376,2015-2016 Month-02,Arun Jaitley,disbur will through digit voucher direct into qualifi student bank account,0.0,Neutral,Others,provid
378,2015-2016 Month-02,Arun Jaitley,this the when will enter the 100th birth anniversari shri deen dayalji upadhyay,0.0,Neutral,Others,growth
379,2015-2016 Month-02,Arun Jaitley,the intent the celebr the anniversari this great nationalist befit manner,0.7073,Positive,Others,provid
380,2015-2016 Month-02,Arun Jaitley,100th birthday celebr committ will announc soon and adequ resourc provid for the celebr,0.0,Neutral,Others,scheme
382,2015-2016 Month-02,Arun Jaitley,with view enabl all poor and middl class student pursu higher educ their choic without ani constraint fund set fulli base student aid author administ and monitor scholarship well educ loan scheme through the pradhan mantri vidya lakshmi karyakram,-0.25,Negative,Others,develop
383,2015-2016 Month-02,Arun Jaitley,will ensur that student miss out higher educ for lack fund,-0.4404,Negative,Others,provid
385,2015-2016 Month-02,Arun Jaitley,honbl member will rememb that the speech juli had indic intent provid one major central institut each state,0.0,Neutral,Others,develop
386,2015-2016 Month-02,Arun Jaitley,the 201516 set all institut medic scienc punjab tamil nadu himach pradesh and assam,0.0,Neutral,Others,provid
387,2015-2016 Month-02,Arun Jaitley,keep view the need augment medic scienc bihar set anoth aiim like institut these state,0.3612,Positive,Others,set
388,2015-2016 Month-02,Arun Jaitley,set iit karnataka and upgrad indian school mine dhanbad into fullfledg iit,0.0,Neutral,Others,custom
389,2015-2016 Month-02,Arun Jaitley,also set post graduat institut horticultur research and educ amritsar,0.0,Neutral,Others,provid
390,2015-2016 Month-02,Arun Jaitley,iim will setup and andhra pradesh,0.0,Neutral,Others,provid
391,2015-2016 Month-02,Arun Jaitley,kerala upgrad the exist institut speech and hear univ disabl studi and rehabilit,0.0,Neutral,Others,provid
392,2015-2016 Month-02,Arun Jaitley,also three new institut pharmaceut educ and research maharashtra rajasthan and chattisgarh and institut scienc and educ research nagaland and odisha,0.0,Neutral,Others,custom
393,2015-2016 Month-02,Arun Jaitley,also set centr for film product anim and game arunach pradesh for the north eastern state and apprenticeship train institut for women haryana and uttrakhand,0.0,Neutral,Agriculture,tax
395,2015-2016 Month-02,Arun Jaitley,order improv the public bank the intend set autonom bank board bureau,0.0,Neutral,Others,tax
396,2015-2016 Month-02,Arun Jaitley,the bureau will search and select head public bank and help them develop differenti strategi and capit rai plan through innov method and instrument,0.4019,Positive,Others,develop
397,2015-2016 Month-02,Arun Jaitley,this would interim step toward establish hold and invest compani for bank,0.0,Neutral,Others,increa
398,2015-2016 Month-02,Arun Jaitley,digit,0.0,Neutral,Others,provid
399,2015-2016 Month-02,Arun Jaitley,madam would like inform the hous are make good progress toward make digit,0.802,Positive,Others,increa
400,2015-2016 Month-02,Arun Jaitley,the optic fibr network programm nofnp kms,0.0,Neutral,Others,provid
401,2015-2016 Month-02,Arun Jaitley,network villag further speed allow will state undertak execut reimbur cost determin depart telecommun,0.2263,Positive,Others,hous
402,2015-2016 Month-02,Arun Jaitley,andhra pradesh the first state have opt for this manner implement,0.0,Neutral,Others,provid
404,2015-2016 Month-02,Arun Jaitley,member are awar make their recommend the commiss has not distinguish between special categori and other state,0.0624,Positive,Others,provid
405,2015-2016 Month-02,Arun Jaitley,moreov both bihar and west bengal are amongst the biggest beneficiari the recommend the commiss,0.3612,Positive,Others,hous
406,2015-2016 Month-02,Arun Jaitley,yet the eastern state have given opportun grow even faster,0.0,Neutral,Agriculture,provid
407,2015-2016 Month-02,Arun Jaitley,therefor give similar special assist bihar and west bengal has been provid the the case andhra pradesh,0.4019,Positive,Others,develop
408,2015-2016 Month-02,Arun Jaitley,regard andhra pradesh and telengana the commit compli with all the legal commit made these state the time reorgan,0.5994,Positive,Others,growth
410,2015-2016 Month-02,Arun Jaitley,spite the larg increa devolut state which impli reduc space for the centr the same proport are commit the welfar the poor and the neomiddl class,-0.6486,Negative,Others,growth
411,2015-2016 Month-02,Arun Jaitley,keep this mind adequ provi made for the scheme for the poor and the disadvantag,-0.4767,Negative,Others,growth
412,2015-2016 Month-02,Arun Jaitley,illustr have alloc 68968 the educ includ midday meal 33152 the health and 79526 for rural develop activ includ mgnrega 22407 for hous and urban develop 10351 for women and child develop 4173 for water resourc and namami gang,0.0,Neutral,Others,provid
413,2015-2016 Month-02,Arun Jaitley,the signif that will spent the state these programm will ensur quantum leap expenditur these area,0.0,Neutral,Others,invest
414,2015-2016 Month-02,Arun Jaitley,urg state util their enhanc resourc effect these area,0.0,Neutral,Others,provid
416,2015-2016 Month-02,Arun Jaitley,madam delight report good progress for dmic corridor the ahmedabaddhaulera invest region gujarat and the shendrabidkin industri park near aurangabad maharashtra are now posit start work basic infrastructur,0.8625,Positive,Others,growth
417,2015-2016 Month-02,Arun Jaitley,the current have earmark initi 1200,0.0,Neutral,Others,provid
418,2015-2016 Month-02,Arun Jaitley,howev the pace expenditur pick will provid them addit fund,0.0,Neutral,Others,agricultur
420,2015-2016 Month-02,Arun Jaitley,defenc everi squar inch our mother land come befor anyth,0.0,Neutral,Others,tax
421,2015-2016 Month-02,Arun Jaitley,far have been over depend import with attend unwelcom spinoff,0.0,Neutral,Others,hous
422,2015-2016 Month-02,Arun Jaitley,our has alreadi permit fdi defenc that the indiancontrol entiti also becom manufactur defenc equip not for but for export,0.0,Neutral,Others,tax
423,2015-2016 Month-02,Arun Jaitley,are thus pursu the make polici achiev greater selfsuffici the area defenc equip includ aircraft,0.3612,Positive,Others,tax
424,2015-2016 Month-02,Arun Jaitley,member this august hous would have note that have been both transpar and quick make defenc equip relat purcha deci thus keep our defenc forc readi for ani eventu,0.0,Neutral,Others,tax
425,2015-2016 Month-02,Arun Jaitley,this too have provid adequ for the need the arm forc,0.0,Neutral,Others,tax
426,2015-2016 Month-02,Arun Jaitley,against like expenditur this 222370 the alloc for 201516 246727,0.3612,Positive,Others,tax
428,2015-2016 Month-02,Arun Jaitley,while produc some the finest mind includ intern they have few avenu fulli exhibit and exploit their strength the countri advantag,0.4215,Positive,Others,tax
429,2015-2016 Month-02,Arun Jaitley,gift gujarat was envisag intern centr that would actual becom good intern centr singapor dubai which incid are larg man indian,0.7003,Positive,Others,servic
430,2015-2016 Month-02,Arun Jaitley,the has languish for,0.0,Neutral,Others,tax
431,2015-2016 Month-02,Arun Jaitley,glad announc that the first phase gift will soon becom realiti,0.7096,Positive,Others,provid
432,2015-2016 Month-02,Arun Jaitley,appropri regul will issu march,0.0,Neutral,Others,set
434,2015-2016 Month-02,Arun Jaitley,for the quick resolut commerci disput the set exclus commerci divi various court base the recommend the 253rd report the law commiss,0.3612,Positive,Others,tax
435,2015-2016 Month-02,Arun Jaitley,the introduc bill the parliament after consult stakehold this regard,0.0,Neutral,Others,provid
